Hourly measurement data supplied by UK-air on 04/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,,,"London Bloomsbury",,,,"London Eltham",,,,"London Harlington",,,,"London Hillingdon",,"London Honor Oak Park",,,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Teddington Bushy Park",,,,"London Westminster",
2020-09-29,17:00:00,No data,,7.73,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,8.7,V ugm-3 (TEOM FDMS),8.682,V ugm-3 (FIDAS),5.442,V ugm-3 (Ref.eq),,,7.85,V ugm-3 (FIDAS),5.236,V ugm-3 (Ref.eq),0.959307,V mgm-3,No data,V ugm-3 (TEOM FDMS),9.2,V ugm-3 (TEOM FDMS),0.075673,V mgm-3,8.55,V ugm-3 (FIDAS),5.59,V ugm-3 (Ref.eq),7.5,V ugm-3 (FIDAS),4.552,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-09-29,18:00:00,No data,,10.24,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,7.4,V ugm-3 (TEOM FDMS),11.958,V ugm-3 (FIDAS),8.412,V ugm-3 (Ref.eq),,,9.7,V ugm-3 (FIDAS),5.425,V ugm-3 (Ref.eq),0.449155,V mgm-3,No data,V ugm-3 (TEOM FDMS),9.8,V ugm-3 (TEOM FDMS),0.11351,V mgm-3,10.2,V ugm-3 (FIDAS),6.698,V ugm-3 (Ref.eq),9.1,V ugm-3 (FIDAS),5.189,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-09-29,19:00:00,No data,,11.65,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,9.7,V ugm-3 (TEOM FDMS),14.403,V ugm-3 (FIDAS),9.782,V ugm-3 (Ref.eq),,,11.25,V ugm-3 (FIDAS),7.712,V ugm-3 (Ref.eq),0.731956,V mgm-3,No data,V ugm-3 (TEOM FDMS),13.8,V ugm-3 (TEOM FDMS),0.512248,V mgm-3,13.325,V ugm-3 (FIDAS),8.514,V ugm-3 (Ref.eq),8.325,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
2020-09-29,20:00:00,No data,,13.76,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,14.1,V ugm-3 (TEOM FDMS),13.565,V ugm-3 (FIDAS),9.519,V ugm-3 (Ref.eq),,,16.2,V ugm-3 (FIDAS),12.17,V ugm-3 (Ref.eq),0.609964,V mgm-3,No data,V ugm-3 (TEOM FDMS),15.8,V ugm-3 (TEOM FDMS),0.40747,V mgm-3,17.2,V ugm-3 (FIDAS),12.217,V ugm-3 (Ref.eq),8.85,V ugm-3 (FIDAS),5.566,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
2020-09-29,21:00:00,No data,,14.06,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,15.2,V ugm-3 (TEOM FDMS),18.77,V ugm-3 (FIDAS),14.264,V ugm-3 (Ref.eq),,,18.575,V ugm-3 (FIDAS),13.679,V ugm-3 (Ref.eq),0.451927,V mgm-3,No data,V ugm-3 (TEOM FDMS),13.5,V ugm-3 (TEOM FDMS),0.34635,V mgm-3,16.425,V ugm-3 (FIDAS),11.722,V ugm-3 (Ref.eq),12.225,V ugm-3 (FIDAS),8.467,V ugm-3 (Ref.eq),19,V ugm-3 (BAM)
2020-09-29,22:00:00,No data,,12.75,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,15.3,V ugm-3 (TEOM FDMS),16.408,V ugm-3 (FIDAS),12.701,V ugm-3 (Ref.eq),,,17.475,V ugm-3 (FIDAS),13.066,V ugm-3 (Ref.eq),0.535105,V mgm-3,No data,V ugm-3 (TEOM FDMS),14.8,V ugm-3 (TEOM FDMS),0.142615,V mgm-3,13.5,V ugm-3 (FIDAS),9.882,V ugm-3 (Ref.eq),14.85,V ugm-3 (FIDAS),11.368,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
2020-09-29,23:00:00,No data,,15.76,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,14.5,V ugm-3 (TEOM FDMS),13.955,V ugm-3 (FIDAS),10.767,V ugm-3 (Ref.eq),,,13.85,V ugm-3 (FIDAS),10.849,V ugm-3 (Ref.eq),0.338252,V mgm-3,No data,V ugm-3 (TEOM FDMS),12.1,V ugm-3 (TEOM FDMS),0.128062,V mgm-3,12.5,V ugm-3 (FIDAS),9.693,V ugm-3 (Ref.eq),14.625,V ugm-3 (FIDAS),10.59,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
2020-09-29,24:00:00,No data,,15.36,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,14.6,V ugm-3 (TEOM FDMS),12.225,V ugm-3 (FIDAS),9.79,V ugm-3 (Ref.eq),,,15.5,V ugm-3 (FIDAS),12.547,V ugm-3 (Ref.eq),0.327162,V mgm-3,No data,V ugm-3 (TEOM FDMS),10.8,V ugm-3 (TEOM FDMS),0.107689,V mgm-3,13.05,V ugm-3 (FIDAS),9.859,V ugm-3 (Ref.eq),8.3,V ugm-3 (FIDAS),6.981,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
2020-09-30,01:00:00,No data,,12.65,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,15.4,V ugm-3 (TEOM FDMS),14.24,V ugm-3 (FIDAS),11.382,V ugm-3 (Ref.eq),,,16.1,V ugm-3 (FIDAS),13.585,V ugm-3 (Ref.eq),0.207018,V mgm-3,No data,V ugm-3 (TEOM FDMS),15.4,V ugm-3 (TEOM FDMS),0.131942,V mgm-3,14.625,V ugm-3 (FIDAS),11.014,V ugm-3 (Ref.eq),5.75,V ugm-3 (FIDAS),4.741,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
2020-09-30,02:00:00,No data,,12.15,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,12.5,V ugm-3 (TEOM FDMS),14.273,V ugm-3 (FIDAS),11.653,V ugm-3 (Ref.eq),,,15.9,V ugm-3 (FIDAS),13.42,V ugm-3 (Ref.eq),0.18114,V mgm-3,No data,V ugm-3 (TEOM FDMS),15.4,V ugm-3 (TEOM FDMS),0.104778,V mgm-3,13.95,V ugm-3 (FIDAS),11.509,V ugm-3 (Ref.eq),8.35,V ugm-3 (FIDAS),6.816,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
2020-09-30,03:00:00,No data,,7.63,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,10.7,V ugm-3 (TEOM FDMS),14.183,V ugm-3 (FIDAS),12.304,V ugm-3 (Ref.eq),,,14.125,V ugm-3 (FIDAS),11.981,V ugm-3 (Ref.eq),0.135855,V mgm-3,No data,V ugm-3 (TEOM FDMS),13.4,V ugm-3 (TEOM FDMS),0.098957,V mgm-3,14.1,V ugm-3 (FIDAS),11.887,V ugm-3 (Ref.eq),9.5,V ugm-3 (FIDAS),8.066,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
2020-09-30,04:00:00,No data,,6.12,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,7.2,V ugm-3 (TEOM FDMS),14.323,V ugm-3 (FIDAS),11.83,V ugm-3 (Ref.eq),,,12.8,V ugm-3 (FIDAS),10.377,V ugm-3 (Ref.eq),0.158035,V mgm-3,No data,V ugm-3 (TEOM FDMS),11.4,V ugm-3 (TEOM FDMS),0.096047,V mgm-3,13.825,V ugm-3 (FIDAS),10.778,V ugm-3 (Ref.eq),8,V ugm-3 (FIDAS),6.769,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-09-30,05:00:00,No data,,5.73,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,8.6,V ugm-3 (TEOM FDMS),10.73,V ugm-3 (FIDAS),8.415,V ugm-3 (Ref.eq),,,10.4,V ugm-3 (FIDAS),7.807,V ugm-3 (Ref.eq),0.224578,V mgm-3,No data,V ugm-3 (TEOM FDMS),10.1,V ugm-3 (TEOM FDMS),0.066942,V mgm-3,9.475,V ugm-3 (FIDAS),6.557,V ugm-3 (Ref.eq),8.325,V ugm-3 (FIDAS),6.792,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-09-30,06:00:00,No data,,4.92,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,7.7,V ugm-3 (TEOM FDMS),8.768,V ugm-3 (FIDAS),6.336,V ugm-3 (Ref.eq),,,8.175,V ugm-3 (FIDAS),6.156,V ugm-3 (Ref.eq),0.302209,V mgm-3,No data,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),0.066942,V mgm-3,7.975,V ugm-3 (FIDAS),4.976,V ugm-3 (Ref.eq),5.575,V ugm-3 (FIDAS),4.198,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-09-30,07:00:00,No data,,5.82,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,8.4,V ugm-3 (TEOM FDMS),8.779,V ugm-3 (FIDAS),5.761,V ugm-3 (Ref.eq),,,9.225,V ugm-3 (FIDAS),5.448,V ugm-3 (Ref.eq),0.446382,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),0.110599,V mgm-3,8.2,V ugm-3 (FIDAS),4.788,V ugm-3 (Ref.eq),6.15,V ugm-3 (FIDAS),4.08,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-09-30,08:00:00,No data,,6.03,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,6,V ugm-3 (TEOM FDMS),9.048,V ugm-3 (FIDAS),5.076,V ugm-3 (Ref.eq),,,11.3,V ugm-3 (FIDAS),5.755,V ugm-3 (Ref.eq),0.463017,V mgm-3,No data,V ugm-3 (TEOM FDMS),8.8,V ugm-3 (TEOM FDMS),0.160078,V mgm-3,12.25,V ugm-3 (FIDAS),5.613,V ugm-3 (Ref.eq),7.875,V ugm-3 (FIDAS),4.175,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-09-30,09:00:00,No data,,3.12,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,5.9,V ugm-3 (TEOM FDMS),9.146,V ugm-3 (FIDAS),4.839,V ugm-3 (Ref.eq),,,11.55,V ugm-3 (FIDAS),5.472,V ugm-3 (Ref.eq),0.388158,V mgm-3,No data,V ugm-3 (TEOM FDMS),8.8,V ugm-3 (TEOM FDMS),0.11351,V mgm-3,11.65,V ugm-3 (FIDAS),5.401,V ugm-3 (Ref.eq),9.525,V ugm-3 (FIDAS),4.811,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-09-30,10:00:00,No data,,5.02,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,7.5,V ugm-3 (TEOM FDMS),10.705,V ugm-3 (FIDAS),5.485,V ugm-3 (Ref.eq),,,No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),No data,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.6,V ugm-3 (TEOM FDMS),0.090226,V mgm-3,10.5,V ugm-3 (FIDAS),5.401,V ugm-3 (Ref.eq),10.4,V ugm-3 (FIDAS),5.425,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-09-30,11:00:00,No data,,5.56,V ugm-3 (TEOM FDMS),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,5.6,V ugm-3 (TEOM FDMS),11.528,V ugm-3 (FIDAS),4.987,V ugm-3 (Ref.eq),,,No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),0.284649,V mgm-3,No data,V ugm-3 (TEOM FDMS),5.3,V ugm-3 (TEOM FDMS),0.221198,V mgm-3,12.6,V ugm-3 (FIDAS),5.613,V ugm-3 (Ref.eq),10.1,V ugm-3 (FIDAS),5.212,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-09-30,12:00:00,No data,,3.96,V ugm-3 (TEOM FDMS),0.966,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,4.7,V ugm-3 (TEOM FDMS),9.658,V ugm-3 (FIDAS),3.92,V ugm-3 (Ref.eq),,,10.175,V ugm-3 (FIDAS),4.316,V ugm-3 (Ref.eq),0.219033,V mgm-3,No data,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),0.098957,V mgm-3,7.925,V ugm-3 (FIDAS),3.986,V ugm-3 (Ref.eq),6.9,V ugm-3 (FIDAS),3.962,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-09-30,13:00:00,No data,,1.51,V ugm-3 (TEOM FDMS),0,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,5.8,V ugm-3 (TEOM FDMS),6.387,V ugm-3 (FIDAS),3.021,V ugm-3 (Ref.eq),,,10.8,V ugm-3 (FIDAS),3.868,V ugm-3 (Ref.eq),0.249531,V mgm-3,No data,V ugm-3 (TEOM FDMS),6.7,V ugm-3 (TEOM FDMS),0.093136,V mgm-3,5.65,V ugm-3 (FIDAS),3.113,V ugm-3 (Ref.eq),5.025,V ugm-3 (FIDAS),3.066,V ugm-3 (Ref.eq),2,V ugm-3 (BAM)
2020-09-30,14:00:00,No data,,4.25,V ugm-3 (TEOM FDMS),3.865,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,4.7,V ugm-3 (TEOM FDMS),6.91,V ugm-3 (FIDAS),3.715,V ugm-3 (Ref.eq),,,7.625,V ugm-3 (FIDAS),4.033,V ugm-3 (Ref.eq),0.285574,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.3,V ugm-3 (TEOM FDMS),0.107689,V mgm-3,8.875,V ugm-3 (FIDAS),3.939,V ugm-3 (Ref.eq),7.15,V ugm-3 (FIDAS),3.797,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-09-30,15:00:00,No data,,3.49,V ugm-3 (TEOM FDMS),4.831,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,6.2,V ugm-3 (TEOM FDMS),6.717,V ugm-3 (FIDAS),3.636,V ugm-3 (Ref.eq),,,6.35,V ugm-3 (FIDAS),3.137,V ugm-3 (Ref.eq),0.280029,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),0.096047,V mgm-3,6.25,V ugm-3 (FIDAS),3.443,V ugm-3 (Ref.eq),5.925,V ugm-3 (FIDAS),3.325,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
2020-09-30,16:00:00,No data,,1.51,V ugm-3 (TEOM FDMS),1.932,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,5.4,V ugm-3 (TEOM FDMS),5.111,V ugm-3 (FIDAS),2.921,V ugm-3 (Ref.eq),,,5.55,V ugm-3 (FIDAS),3.113,V ugm-3 (Ref.eq),0.332707,V mgm-3,No data,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),0.101868,V mgm-3,5.65,V ugm-3 (FIDAS),3.137,V ugm-3 (Ref.eq),5.125,V ugm-3 (FIDAS),3.09,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-09-30,17:00:00,No data,,1.41,V ugm-3 (TEOM FDMS),6.763,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),,,5.5,V ugm-3 (TEOM FDMS),8.477,V ugm-3 (FIDAS),4.599,V ugm-3 (Ref.eq),,,6.675,V ugm-3 (FIDAS),4.009,V ugm-3 (Ref.eq),0.255076,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.6,V ugm-3 (TEOM FDMS),0.11351,V mgm-3,6.8,V ugm-3 (FIDAS),3.986,V ugm-3 (Ref.eq),7.05,V ugm-3 (FIDAS),4.481,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-09-30,18:00:00,No data,,3.4,V ugm-3 (TEOM FDMS),5.797,V ugm-3 (Ref.eq),2,V ugm-3 (BAM),,,5.1,V ugm-3 (TEOM FDMS),7.244,V ugm-3 (FIDAS),4.63,V ugm-3 (Ref.eq),,,7.45,V ugm-3 (FIDAS),4.363,V ugm-3 (Ref.eq),0.332707,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.4,V ugm-3 (TEOM FDMS),0.110599,V mgm-3,6.75,V ugm-3 (FIDAS),4.057,V ugm-3 (Ref.eq),7.35,V ugm-3 (FIDAS),4.623,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-09-30,19:00:00,No data,,1.51,V ugm-3 (TEOM FDMS),10.628,V ugm-3 (Ref.eq),1,V ugm-3 (BAM),,,4.1,V ugm-3 (TEOM FDMS),7.62,V ugm-3 (FIDAS),5.102,V ugm-3 (Ref.eq),,,6.9,V ugm-3 (FIDAS),4.269,V ugm-3 (Ref.eq),0.246758,V mgm-3,No data,V ugm-3 (TEOM FDMS),9.2,V ugm-3 (TEOM FDMS),0.11351,V mgm-3,7.9,V ugm-3 (FIDAS),5.142,V ugm-3 (Ref.eq),8.75,V ugm-3 (FIDAS),5.566,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
2020-09-30,20:00:00,No data,,1.79,V ugm-3 (TEOM FDMS),10.628,V ugm-3 (Ref.eq),4,V ugm-3 (BAM),,,5.3,V ugm-3 (TEOM FDMS),7.035,V ugm-3 (FIDAS),4.766,V ugm-3 (Ref.eq),,,7.9,V ugm-3 (FIDAS),5.212,V ugm-3 (Ref.eq),0.216259,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.4,V ugm-3 (TEOM FDMS),0.110599,V mgm-3,7.8,V ugm-3 (FIDAS),5.354,V ugm-3 (Ref.eq),8.15,V ugm-3 (FIDAS),5.259,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-09-30,21:00:00,No data,,1.51,V ugm-3 (TEOM FDMS),8.696,V ugm-3 (Ref.eq),3,V ugm-3 (BAM),,,5.6,V ugm-3 (TEOM FDMS),6.443,V ugm-3 (FIDAS),4.338,V ugm-3 (Ref.eq),,,7.975,V ugm-3 (FIDAS),5.212,V ugm-3 (Ref.eq),0.15249,V mgm-3,No data,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),0.104778,V mgm-3,7.825,V ugm-3 (FIDAS),5.047,V ugm-3 (Ref.eq),8,V ugm-3 (FIDAS),4.882,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-09-30,22:00:00,No data,,1.98,V ugm-3 (TEOM FDMS),6.763,V ugm-3 (Ref.eq),0,V ugm-3 (BAM),,,4.8,V ugm-3 (TEOM FDMS),6.808,V ugm-3 (FIDAS),4.069,V ugm-3 (Ref.eq),,,8.3,V ugm-3 (FIDAS),4.976,V ugm-3 (Ref.eq),0.158035,V mgm-3,No data,V ugm-3 (TEOM FDMS),4.9,V ugm-3 (TEOM FDMS),0.090226,V mgm-3,7.125,V ugm-3 (FIDAS),4.458,V ugm-3 (Ref.eq),8.1,V ugm-3 (FIDAS),4.788,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
2020-09-30,23:00:00,No data,,-0.19,V ugm-3 (TEOM FDMS),9.662,V ugm-3 (Ref.eq),1,V ugm-3 (BAM),,,4.5,V ugm-3 (TEOM FDMS),7.633,V ugm-3 (FIDAS),4.074,V ugm-3 (Ref.eq),,,8.45,V ugm-3 (FIDAS),4.646,V ugm-3 (Ref.eq),0.102585,V mgm-3,No data,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),0.096047,V mgm-3,6.825,V ugm-3 (FIDAS),4.292,V ugm-3 (Ref.eq),6.15,V ugm-3 (FIDAS),3.726,V ugm-3 (Ref.eq),2,V ugm-3 (BAM)
2020-09-30,24:00:00,No data,,1.51,V ugm-3 (TEOM FDMS),9.662,V ugm-3 (Ref.eq),1,V ugm-3 (BAM),,,1.7,V ugm-3 (TEOM FDMS),5.476,V ugm-3 (FIDAS),3.286,V ugm-3 (Ref.eq),,,4.2,V ugm-3 (FIDAS),2.5,V ugm-3 (Ref.eq),0.063769,V mgm-3,No data,V ugm-3 (TEOM FDMS),3.9,V ugm-3 (TEOM FDMS),0.093136,V mgm-3,6.175,V ugm-3 (FIDAS),3.774,V ugm-3 (Ref.eq),6.4,V ugm-3 (FIDAS),3.609,V ugm-3 (Ref.eq),0,V ugm-3 (BAM)
2020-10-01,01:00:00,No data,,No data,V ugm-3 (TEOM FDMS),7.73,V ugm-3 (Ref.eq),-2,V ugm-3 (BAM),,,1.5,V ugm-3 (TEOM FDMS),5.537,V ugm-3 (FIDAS),2.723,V ugm-3 (Ref.eq),,,5.05,V ugm-3 (FIDAS),2.712,V ugm-3 (Ref.eq),0.121993,V mgm-3,No data,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),0.23349,V mgm-3,5.625,V ugm-3 (FIDAS),2.948,V ugm-3 (Ref.eq),6.75,V ugm-3 (FIDAS),3.679,V ugm-3 (Ref.eq),3,V ugm-3 (BAM)
2020-10-01,02:00:00,No data,,No data,V ugm-3 (TEOM FDMS),6.763,V ugm-3 (Ref.eq),-3,V ugm-3 (BAM),,,2.9,V ugm-3 (TEOM FDMS),6.481,V ugm-3 (FIDAS),3.194,V ugm-3 (Ref.eq),,,6.325,V ugm-3 (FIDAS),3.302,V ugm-3 (Ref.eq),0.088723,V mgm-3,No data,V ugm-3 (TEOM FDMS),4.3,V ugm-3 (TEOM FDMS),0.175117,V mgm-3,6.05,V ugm-3 (FIDAS),3.325,V ugm-3 (Ref.eq),4.8,V ugm-3 (FIDAS),2.618,V ugm-3 (Ref.eq),3,V ugm-3 (BAM)
2020-10-01,03:00:00,No data,,No data,V ugm-3 (TEOM FDMS),7.73,V ugm-3 (Ref.eq),-3,V ugm-3 (BAM),,,2.6,V ugm-3 (TEOM FDMS),6.67,V ugm-3 (FIDAS),3.482,V ugm-3 (Ref.eq),,,6.375,V ugm-3 (FIDAS),3.325,V ugm-3 (Ref.eq),0.083177,V mgm-3,No data,V ugm-3 (TEOM FDMS),4.1,V ugm-3 (TEOM FDMS),0.198466,V mgm-3,6.7,V ugm-3 (FIDAS),3.632,V ugm-3 (Ref.eq),2.875,V ugm-3 (FIDAS),1.792,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-10-01,04:00:00,No data,,No data,V ugm-3 (TEOM FDMS),7.73,V ugm-3 (Ref.eq),-2,V ugm-3 (BAM),,,3.3,V ugm-3 (TEOM FDMS),6.425,V ugm-3 (FIDAS),3.526,V ugm-3 (Ref.eq),,,6.925,V ugm-3 (FIDAS),3.514,V ugm-3 (Ref.eq),0.668188,V mgm-3,No data,V ugm-3 (TEOM FDMS),2.5,V ugm-3 (TEOM FDMS),0.180954,V mgm-3,7.375,V ugm-3 (FIDAS),4.009,V ugm-3 (Ref.eq),7.85,V ugm-3 (FIDAS),4.599,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-10-01,05:00:00,No data,,No data,V ugm-3 (TEOM FDMS),5.797,V ugm-3 (Ref.eq),0,V ugm-3 (BAM),,,5.3,V ugm-3 (TEOM FDMS),6.082,V ugm-3 (FIDAS),3.364,V ugm-3 (Ref.eq),,,7.45,V ugm-3 (FIDAS),4.458,V ugm-3 (Ref.eq),0.81236,V mgm-3,No data,V ugm-3 (TEOM FDMS),3.1,V ugm-3 (TEOM FDMS),0.14593,V mgm-3,6.275,V ugm-3 (FIDAS),3.774,V ugm-3 (Ref.eq),5.525,V ugm-3 (FIDAS),3.373,V ugm-3 (Ref.eq),3,V ugm-3 (BAM)
2020-10-01,06:00:00,No data,,No data,V ugm-3 (TEOM FDMS),4.831,V ugm-3 (Ref.eq),-1,V ugm-3 (BAM),,,4.9,V ugm-3 (TEOM FDMS),7.774,V ugm-3 (FIDAS),4.058,V ugm-3 (Ref.eq),,,6.625,V ugm-3 (FIDAS),4.575,V ugm-3 (Ref.eq),0.729184,V mgm-3,No data,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),0.192629,V mgm-3,5.8,V ugm-3 (FIDAS),3.679,V ugm-3 (Ref.eq),5.375,V ugm-3 (FIDAS),3.231,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
2020-10-01,07:00:00,No data,,No data,V ugm-3 (TEOM FDMS),6.763,V ugm-3 (Ref.eq),0,V ugm-3 (BAM),,,6.7,V ugm-3 (TEOM FDMS),7.161,V ugm-3 (FIDAS),4.3,V ugm-3 (Ref.eq),,,6.375,V ugm-3 (FIDAS),3.986,V ugm-3 (Ref.eq),1.24488,V mgm-3,No data,V ugm-3 (TEOM FDMS),9.1,V ugm-3 (TEOM FDMS),0.166361,V mgm-3,8.05,V ugm-3 (FIDAS),4.646,V ugm-3 (Ref.eq),6.525,V ugm-3 (FIDAS),3.986,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
2020-10-01,08:00:00,No data,,No data,V ugm-3 (TEOM FDMS),7.73,V ugm-3 (Ref.eq),2,V ugm-3 (BAM),,,6.3,V ugm-3 (TEOM FDMS),8.643,V ugm-3 (FIDAS),5.007,V ugm-3 (Ref.eq),,,7.75,V ugm-3 (FIDAS),4.811,V ugm-3 (Ref.eq),1.070208,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.3,V ugm-3 (TEOM FDMS),0.221815,V mgm-3,7.025,V ugm-3 (FIDAS),3.986,V ugm-3 (Ref.eq),8.05,V ugm-3 (FIDAS),4.552,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-10-01,09:00:00,No data,,No data,V ugm-3 (TEOM FDMS),10.628,V ugm-3 (Ref.eq),3,V ugm-3 (BAM),,,5.6,V ugm-3 (TEOM FDMS),9.147,V ugm-3 (FIDAS),4.34,V ugm-3 (Ref.eq),,,10.325,V ugm-3 (FIDAS),5.495,V ugm-3 (Ref.eq),0.842859,V mgm-3,No data,V ugm-3 (TEOM FDMS),6.6,V ugm-3 (TEOM FDMS),0.207222,V mgm-3,10.65,V ugm-3 (FIDAS),5.071,V ugm-3 (Ref.eq),7.125,V ugm-3 (FIDAS),3.939,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-10-01,10:00:00,No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),8.696,V ugm-3 (Ref.eq),3,V ugm-3 (BAM),,,7.1,V ugm-3 (TEOM FDMS),11.195,V ugm-3 (FIDAS),3.285,V ugm-3 (Ref.eq),,,9.575,V ugm-3 (FIDAS),4.929,V ugm-3 (Ref.eq),0.593329,V mgm-3,No data,V ugm-3 (TEOM FDMS),6.5,V ugm-3 (TEOM FDMS),0.148849,V mgm-3,9.65,V ugm-3 (FIDAS),3.75,V ugm-3 (Ref.eq),5.325,V ugm-3 (FIDAS),2.665,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
